Group Chi p1 p2 Class Size
J3 7 17 19 19 50232960
J3 8 17 -1 -1 50232960
J3 8 17 2 2 50232960
J3 8 17 3 3 50232960
J3 8 17 3 4 50232960
J3 8 17 5 6 50232960
J3 8 17 5 7 50232960
J3 8 17 19 18 50232960
J3 8 17 19 19 50232960
J3 9 17 -1 -1 50232960
J3 9 17 2 2 50232960
J3 9 17 3 3 50232960
J3 9 17 3 4 50232960
J3 9 17 5 6 50232960
J3 9 17 5 7 50232960
J3 9 17 19 18 50232960
J3 9 17 19 19 50232960
J3 10 17 -1 -1 50232960
J3 10 17 2 2 50232960
J3 10 17 3 3 50232960
J3 10 17 3 4 50232960
J3 10 17 5 6 50232960
J3 10 17 5 7 50232960
J3 10 17 19 18 50232960
J3 10 17 19 19 50232960
J3 11 17 -1 -1 50232960
J3 11 17 2 2 50232960
J3 11 17 3 3 50232960
J3 11 17 3 4 50232960
J3 11 17 5 6 50232960
J3 11 17 5 7 50232960
J3 11 17 19 18 50232960
J3 11 17 19 19 50232960
J3 12 17 -1 -1 50232960
J3 12 17 2 2 50232960
J3 12 17 3 3 50232960
J3 12 17 3 4 50232960
J3 12 17 5 6 50232960
J3 12 17 5 7 50232960
J3 12 17 19 18 50232960
J3 12 17 19 19 50232960
J3 13 17 -1 -1 50232960
J3 13 17 2 2 50232960
J3 13 17 3 3 50232960
J3 13 17 3 4 50232960
J3 13 17 5 6 50232960
J3 13 17 5 7 50232960
J3 13 17 19 18 50232960
J3 13 17 19 19 50232960
J3 14 17 -1 -1 50232960
J3 14 17 2 2 50232960
J3 14 17 3 3 50232960
J3 14 17 3 4 50232960
J3 14 17 5 6 50232960
J3 14 17 5 7 50232960
J3 14 17 19 18 50232960
J3 14 17 19 19 50232960
J3 15 17 -1 -1 50232960
J3 15 17 2 2 50232960
J3 15 17 3 3 50232960
J3 15 17 3 4 50232960
J3 15 17 5 6 50232960
J3 15 17 5 7 50232960
J3 15 17 19 18 50232960
J3 15 17 19 19 50232960
J3 16 17 -1 -1 50232960
J3 16 17 2 2 50232960
J3 16 17 3 3 50232960
J3 16 17 3 4 50232960
J3 16 17 5 6 50232960
J3 16 17 5 7 50232960
J3 16 17 19 18 50232960
J3 16 17 19 19 50232960
J3 17 17 -1 -1 50232960
J3 17 17 2 2 50232960
J3 17 17 3 3 50232960
J3 17 17 3 4 50232960
J3 17 17 5 6 50232960
J3 17 17 5 7 50232960
J3 17 17 19 18 50232960
J3 17 17 19 19 50232960
J3 18 17 -1 -1 50232960
J3 18 17 2 2 50232960
J3 18 17 3 3 50232960
J3 18 17 3 4 50232960
J3 18 17 5 6 50232960
J3 18 17 5 7 50232960
J3 18 17 19 18 50232960
J3 18 17 19 19 50232960
J3 19 17 -1 -1 50232960
J3 19 17 2 2 50232960
J3 19 17 3 3 50232960
J3 19 17 3 4 50232960
J3 19 17 5 6 50232960
J3 19 17 5 7 50232960
J3 19 17 19 18 50232960
J3 19 17 19 19 50232960
J3 2 19 -1 -1 50232960
J3 2 19 2 2 50232960
J3 2 19 3 3 50232960
J3 2 19 3 4 50232960
J3 2 19 5 6 50232960
J3 2 19 5 7 50232960
J3 2 19 17 18 50232960
J3 2 19 17 19 50232960
J3 3 19 -1 -1 50232960
J3 3 19 2 2 50232960
J3 3 19 3 3 50232960
J3 3 19 3 4 50232960
J3 3 19 5 6 50232960
J3 3 19 5 7 50232960
J3 3 19 17 18 50232960
J3 3 19 17 19 50232960
J3 4 19 -1 -1 50232960
J3 4 19 2 2 50232960
J3 4 19 3 3 50232960
J3 4 19 3 4 50232960
J3 4 19 5 6 50232960
J3 4 19 5 7 50232960
J3 4 19 17 18 50232960
J3 4 19 17 19 50232960
J3 5 19 -1 -1 50232960
J3 5 19 2 2 50232960
J3 5 19 3 3 50232960
J3 5 19 3 4 50232960
J3 5 19 5 6 50232960
J3 5 19 5 7 50232960
J3 5 19 17 18 50232960
J3 5 19 17 19 50232960
J3 6 19 -1 -1 50232960
J3 6 19 2 2 50232960
J3 6 19 3 3 50232960
J3 6 19 3 4 50232960
J3 6 19 5 6 50232960
J3 6 19 5 7 50232960
J3 6 19 17 18 50232960
J3 6 19 17 19 50232960
J3 7 19 -1 -1 50232960
J3 7 19 2 2 50232960
J3 7 19 3 3 50232960
J3 7 19 3 4 50232960
J3 7 19 5 6 50232960
J3 7 19 5 7 50232960
J3 7 19 17 18 50232960
J3 7 19 17 19 50232960
J3 8 19 -1 -1 50232960
J3 8 19 2 2 50232960
J3 8 19 3 3 50232960
J3 8 19 3 4 50232960
J3 8 19 5 6 50232960
J3 8 19 5 7 50232960
J3 8 19 17 18 50232960
J3 8 19 17 19 50232960
J3 9 19 -1 -1 50232960
J3 9 19 2 2 50232960
J3 9 19 3 3 50232960
J3 9 19 3 4 50232960
J3 9 19 5 6 50232960
J3 9 19 5 7 50232960
J3 9 19 17 18 50232960
J3 9 19 17 19 50232960
J3 10 19 -1 -1 50232960
J3 10 19 2 2 50232960
J3 10 19 3 3 50232960
J3 10 19 3 4 50232960
J3 10 19 5 6 50232960
J3 10 19 5 7 50232960
J3 10 19 17 18 50232960
J3 10 19 17 19 50232960
J3 11 19 -1 -1 50232960
J3 11 19 2 2 50232960
J3 11 19 3 3 50232960
J3 11 19 3 4 50232960
J3 11 19 5 6 50232960
J3 11 19 5 7 50232960
J3 11 19 17 18 50232960
J3 11 19 17 19 50232960
J3 12 19 -1 -1 50232960
J3 12 19 2 2 50232960
J3 12 19 3 3 50232960
J3 12 19 3 4 50232960
J3 12 19 5 6 50232960
J3 12 19 5 7 50232960
J3 12 19 17 18 50232960
J3 12 19 17 19 50232960
J3 13 19 -1 -1 50232960
J3 13 19 2 2 50232960
J3 13 19 3 3 50232960
J3 13 19 3 4 50232960
J3 13 19 5 6 50232960
J3 13 19 5 7 50232960
J3 13 19 17 18 50232960
J3 13 19 17 19 50232960
J3 14 19 -1 -1 50232960
J3 14 19 2 2 50232960
J3 14 19 3 3 50232960
J3 14 19 3 4 50232960
J3 14 19 5 6 50232960
J3 14 19 5 7 50232960
J3 14 19 17 18 50232960
J3 14 19 17 19 50232960
J3 15 19 -1 -1 50232960
J3 15 19 2 2 50232960
J3 15 19 3 3 50232960
J3 15 19 3 4 50232960
J3 15 19 5 6 50232960
J3 15 19 5 7 50232960
J3 15 19 17 18 50232960
J3 15 19 17 19 50232960
J3 16 19 -1 -1 50232960
J3 16 19 2 2 50232960
J3 16 19 3 3 50232960
J3 16 19 3 4 50232960
J3 16 19 5 6 50232960
J3 16 19 5 7 50232960
J3 16 19 17 18 50232960
J3 16 19 17 19 50232960
J3 17 19 -1 -1 50232960
J3 17 19 2 2 50232960
J3 17 19 3 3 50232960
J3 17 19 3 4 50232960
J3 17 19 5 6 50232960
J3 17 19 5 7 50232960
J3 17 19 17 18 50232960
J3 17 19 17 19 50232960
J3 18 19 -1 -1 50232960
J3 18 19 2 2 50232960
J3 18 19 3 3 50232960
J3 18 19 3 4 50232960
J3 18 19 5 6 50232960
J3 18 19 5 7 50232960
J3 18 19 17 18 50232960
J3 18 19 17 19 50232960
J3 19 19 -1 -1 50232960
J3 19 19 2 2 50232960
J3 19 19 3 3 50232960
J3 19 19 3 4 50232960
J3 19 19 5 6 50232960
J3 19 19 5 7 50232960
J3 19 19 17 18 50232960
J3 19 19 17 19 50232960
ON 2 2 -1 -1 460815505920
ON 2 2 3 2 460815505920
ON 2 2 5 3 460815505920
ON 2 2 7 4 460815505920
ON 2 2 7 5 460815505920
ON 2 2 11 6 460815505920
ON 2 2 19 9 460815505920
ON 2 2 19 10 460815505920
ON 2 2 19 11 460815505920
ON 2 2 31 12 460815505920
