Group Chi p1 p2 Class Size
M22.2 4 2 7 4 887040
M22.2 4 2 7 5 887040
M22.2 4 2 11 6 887040
M22.2 5 2 -1 -1 887040
M22.2 5 2 3 2 887040
M22.2 5 2 5 3 887040
M22.2 5 2 7 4 887040
M22.2 5 2 7 5 887040
M22.2 5 2 11 6 887040
M22.2 6 2 -1 -1 887040
M22.2 6 2 3 2 887040
M22.2 6 2 5 3 887040
M22.2 6 2 7 4 887040
M22.2 6 2 7 5 887040
M22.2 6 2 11 6 887040
M22.2 3 3 -1 -1 887040
M22.2 3 3 2 2 887040
M22.2 3 3 5 5 887040
M22.2 3 3 7 6 887040
M22.2 3 3 7 7 887040
M22.2 3 3 11 9 887040
M22.2 3 3 2 10 887040
M22.2 3 3 2 11 887040
M22.2 4 3 -1 -1 887040
M22.2 4 3 2 2 887040
M22.2 4 3 5 5 887040
M22.2 4 3 7 6 887040
M22.2 4 3 7 7 887040
M22.2 4 3 11 9 887040
M22.2 4 3 2 10 887040
M22.2 4 3 2 11 887040
M22.2 5 3 -1 -1 887040
M22.2 5 3 2 2 887040
M22.2 5 3 5 5 887040
M22.2 5 3 7 6 887040
M22.2 5 3 7 7 887040
M22.2 5 3 11 9 887040
M22.2 5 3 2 10 887040
M22.2 5 3 2 11 887040
M22.2 6 3 -1 -1 887040
M22.2 6 3 2 2 887040
M22.2 6 3 5 5 887040
M22.2 6 3 7 6 887040
M22.2 6 3 7 7 887040
M22.2 6 3 11 9 887040
M22.2 6 3 2 10 887040
M22.2 6 3 2 11 887040
M22.2 7 3 -1 -1 887040
M22.2 7 3 2 2 887040
M22.2 7 3 5 5 887040
M22.2 7 3 7 6 887040
M22.2 7 3 7 7 887040
M22.2 7 3 11 9 887040
M22.2 7 3 2 10 887040
M22.2 7 3 2 11 887040
M22.2 8 3 -1 -1 887040
M22.2 8 3 2 2 887040
M22.2 8 3 5 5 887040
M22.2 8 3 7 6 887040
M22.2 8 3 7 7 887040
M22.2 8 3 11 9 887040
M22.2 8 3 2 10 887040
M22.2 8 3 2 11 887040
M22.2 9 3 -1 -1 887040
M22.2 9 3 2 2 887040
M22.2 9 3 5 5 887040
M22.2 9 3 7 6 887040
M22.2 9 3 7 7 887040
M22.2 9 3 11 9 887040
M22.2 9 3 2 10 887040
M22.2 9 3 2 11 887040
M22.2 10 3 -1 -1 887040
M22.2 10 3 2 2 887040
M22.2 10 3 5 5 887040
M22.2 10 3 7 6 887040
M22.2 10 3 7 7 887040
M22.2 10 3 11 9 887040
M22.2 10 3 2 10 887040
M22.2 10 3 2 11 887040
M22.2 11 3 -1 -1 887040
M22.2 11 3 2 2 887040
M22.2 11 3 5 5 887040
M22.2 11 3 7 6 887040
M22.2 11 3 7 7 887040
M22.2 11 3 11 9 887040
M22.2 11 3 2 10 887040
M22.2 11 3 2 11 887040
M22.2 12 3 -1 -1 887040
M22.2 12 3 2 2 887040
M22.2 12 3 5 5 887040
M22.2 12 3 7 6 887040
M22.2 12 3 7 7 887040
M22.2 12 3 11 9 887040
M22.2 12 3 2 10 887040
M22.2 12 3 2 11 887040
M22.2 13 3 -1 -1 887040
M22.2 13 3 2 2 887040
M22.2 13 3 5 5 887040
M22.2 13 3 7 6 887040
M22.2 13 3 7 7 887040
M22.2 13 3 11 9 887040
M22.2 13 3 2 10 887040
M22.2 13 3 2 11 887040
M22.2 14 3 -1 -1 887040
M22.2 14 3 2 2 887040
M22.2 14 3 5 5 887040
M22.2 14 3 7 6 887040
M22.2 14 3 7 7 887040
M22.2 14 3 11 9 887040
M22.2 14 3 2 10 887040
M22.2 14 3 2 11 887040
M22.2 15 3 -1 -1 887040
M22.2 15 3 2 2 887040
M22.2 15 3 5 5 887040
M22.2 15 3 7 6 887040
M22.2 15 3 7 7 887040
M22.2 15 3 11 9 887040
M22.2 15 3 2 10 887040
M22.2 15 3 2 11 887040
M22.2 16 3 -1 -1 887040
M22.2 16 3 2 2 887040
M22.2 16 3 5 5 887040
M22.2 16 3 7 6 887040
M22.2 16 3 7 7 887040
M22.2 16 3 11 9 887040
M22.2 16 3 2 10 887040
M22.2 16 3 2 11 887040
M22.2 17 3 -1 -1 887040
M22.2 17 3 2 2 887040
M22.2 17 3 5 5 887040
M22.2 17 3 7 6 887040
M22.2 17 3 7 7 887040
M22.2 17 3 11 9 887040
M22.2 17 3 2 10 887040
M22.2 17 3 2 11 887040
M22.2 3 5 -1 -1 887040
M22.2 3 5 2 2 887040
M22.2 3 5 3 3 887040
M22.2 3 5 7 7 887040
M22.2 3 5 7 8 887040
M22.2 3 5 11 10 887040
M22.2 3 5 2 11 887040
M22.2 3 5 2 12 887040
M22.2 4 5 -1 -1 887040
M22.2 4 5 2 2 887040
M22.2 4 5 3 3 887040
M22.2 4 5 7 7 887040
M22.2 4 5 7 8 887040
M22.2 4 5 11 10 887040
M22.2 4 5 2 11 887040
M22.2 4 5 2 12 887040
M22.2 5 5 -1 -1 887040
M22.2 5 5 2 2 887040
M22.2 5 5 3 3 887040
M22.2 5 5 7 7 887040
M22.2 5 5 7 8 887040
M22.2 5 5 11 10 887040
M22.2 5 5 2 11 887040
M22.2 5 5 2 12 887040
M22.2 6 5 -1 -1 887040
M22.2 6 5 2 2 887040
M22.2 6 5 3 3 887040
M22.2 6 5 7 7 887040
M22.2 6 5 7 8 887040
M22.2 6 5 11 10 887040
M22.2 6 5 2 11 887040
M22.2 6 5 2 12 887040
M22.2 7 5 -1 -1 887040
M22.2 7 5 2 2 887040
M22.2 7 5 3 3 887040
M22.2 7 5 7 7 887040
M22.2 7 5 7 8 887040
M22.2 7 5 11 10 887040
M22.2 7 5 2 11 887040
M22.2 7 5 2 12 887040
M22.2 8 5 -1 -1 887040
M22.2 8 5 2 2 887040
M22.2 8 5 3 3 887040
M22.2 8 5 7 7 887040
M22.2 8 5 7 8 887040
M22.2 8 5 11 10 887040
M22.2 8 5 2 11 887040
M22.2 8 5 2 12 887040
M22.2 9 5 -1 -1 887040
M22.2 9 5 2 2 887040
M22.2 9 5 3 3 887040
M22.2 9 5 7 7 887040
M22.2 9 5 7 8 887040
M22.2 9 5 11 10 887040
M22.2 9 5 2 11 887040
M22.2 9 5 2 12 887040
M22.2 10 5 -1 -1 887040
M22.2 10 5 2 2 887040
M22.2 10 5 3 3 887040
M22.2 10 5 7 7 887040
M22.2 10 5 7 8 887040
M22.2 10 5 11 10 887040
M22.2 10 5 2 11 887040
M22.2 10 5 2 12 887040
M22.2 11 5 -1 -1 887040
M22.2 11 5 2 2 887040
M22.2 11 5 3 3 887040
M22.2 11 5 7 7 887040
M22.2 11 5 7 8 887040
M22.2 11 5 11 10 887040
M22.2 11 5 2 11 887040
M22.2 11 5 2 12 887040
M22.2 12 5 -1 -1 887040
M22.2 12 5 2 2 887040
M22.2 12 5 3 3 887040
M22.2 12 5 7 7 887040
M22.2 12 5 7 8 887040
M22.2 12 5 11 10 887040
M22.2 12 5 2 11 887040
M22.2 12 5 2 12 887040
M22.2 13 5 -1 -1 887040
